author,published_at,updated_at,like_count,text
@hendrayacoeb9758,2024-07-22T07:53:38Z,2024-07-22T07:53:38Z,0,kembalikan saja seperti zamannya Orde Baru dimana hanya ada 3 partai dalam pemilu <br>kl dalam hari2 biasa boleh banyak2 buat partai tp dalam pemilu bergabung menjadi 3 partai td
@primatajenius28,2024-07-22T07:27:35Z,2024-07-22T07:27:35Z,0,EPIC TALK!
@primatajenius28,2024-07-22T07:27:21Z,2024-07-22T07:27:21Z,0,💯💯💯💯💯💯💯
@Voyzka,2024-07-22T07:06:41Z,2024-07-22T07:06:41Z,0,Retorika Fahri Hamzah ini otentik like no other politicians in this country and smart AF.
@safriwildan6506,2024-07-22T06:27:50Z,2024-07-22T06:27:50Z,1,Turki??? OTORITER STABIL??? 😂😂😂😂 Ekonomi aja ambyar... Liat tuh mata uang Lira😂
@hollafifi,2024-07-22T06:23:14Z,2024-07-22T06:23:14Z,0,"<a href=""https://www.youtube.com/watch?v=g0Doh6BYS6k&amp;t=4145"">1:09:05</a>  kedipan adalah maut 😉"
@MonumaArchitecture,2024-07-22T06:22:29Z,2024-07-22T06:22:29Z,3,"Beberapa hari ini nonton podcast ini . Hari ketiga ini liat baru ngeh. Bidak catur yg udah di makan sama bang Fahri, ditata lagi di luar papan catur. Dan itu sesuai tempatnya pula 😅."
@salmanruhdin,2024-07-22T05:02:28Z,2024-07-22T05:02:28Z,0,Aneh kenapa jabatan publik di bilang karier
@wahyunakula7691,2024-07-22T04:50:48Z,2024-07-22T04:50:48Z,0,"Panji kepala udah botak, catur juga di botakin"
@adeirsal1869,2024-07-22T03:41:06Z,2024-07-22T03:41:06Z,0,Senang banget gua dengar bang Fahri ngomong nih. soalnya kayak orang benar.
@user-ms8bq1vr5x,2024-07-22T02:45:24Z,2024-07-22T02:45:24Z,0,"Knp Anies ga mau join PKS ?<br>Yakali PKS isinya org bener walau besar, Sandiaga aja ga bsa nyelametin PPP.<br>mending Anies bikin partai sendiri ato join Gelora sekalian"
@sumaterakeras,2024-07-22T01:48:24Z,2024-07-22T01:48:24Z,0,Episode favorite nih
@kwonglie214,2024-07-22T00:57:42Z,2024-07-22T00:57:42Z,0,PANJI  SAWERAN  MANA TUH  SECANGKIR KOPI.... BUAT BIG  BROTHER.....THINK ABOUT IT    ...MAJU TERUS YAH    FROM BOISE IDAHO USA
@user-hr3cs4tb9z,2024-07-21T21:22:31Z,2024-07-21T21:22:31Z,0,Bang gua penasaran klo bung rocky duel catur 😂
@raflirmdhn4M1N,2024-07-21T20:16:09Z,2024-07-21T20:16:09Z,0,"Dr pertanyaan pertama, ke2 FAHRI HAMZAH ini gak nyambung sama sekali😂 Sok sok an die mengkritik Partai yg makin mentereng, fahri fahri omon omon aja😮"
@Alliftashali,2024-07-21T19:51:23Z,2024-07-21T19:51:23Z,1,Politisi yg tidak munafik semoga bisa suatu saat datang berenang seperti beliau
@ariwiranto9645,2024-07-21T18:12:20Z,2024-07-21T18:12:20Z,0,Next Rocky gerung !!!
@lawbudget,2024-07-21T17:47:01Z,2024-07-21T17:47:01Z,0,Bagus banget cara Bang Fahri ambil posisi disini. Jam terbang ngga boong emang.
@AGH15,2024-07-21T16:56:31Z,2024-07-21T16:56:31Z,0,"Harusnya bang Pandji tegesin berarti Prabowo bakal banyak buat perpu dong, karna perpu lebih efektif dibanding uu yg lewat dpr"
@j.a.nugraha6694,2024-07-21T16:36:56Z,2024-07-21T16:36:56Z,0,"tapi jujur Ji, sudut pandang Fahri lebih matang dari Lo ji....love u Ji..."
@afrizal46162,2024-07-21T16:33:31Z,2024-07-21T16:34:19Z,0,"kekuasaan kok di kasi yg kalah , wkwkw<br>kocak ji, komedian mengkritik Phd australi yg cman jadi wakil<br>ji ji , terlalu mencari cari"
@riered9reda101,2024-07-21T16:19:18Z,2024-07-21T16:19:18Z,0,LU AJA KALI YG NGERASA DAH NGE SKAK.. SEMUA YG LU DUKUNG KALAH TUH KLO GK BAWA BAWA AYAT DAN MAYAT
@hermanjayadi4980,2024-07-21T15:37:22Z,2024-07-21T15:37:41Z,0,"Memang gk ada lawan bg FAHRI PIKIRANYA LUAS,,GK ADA LAWAN 👏👏👍"
